check	status	detail
analysis-event hash equals canonical P04/56	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 56	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/56	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/56	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/56	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/57	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/57	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/57	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/57	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 57	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/57	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/57	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/57	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/58	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/58	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/58	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/58	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 58	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/58	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/58	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/58	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/59	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/59	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/59	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/59	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 59	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/59	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/59	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/59	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/60	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/60	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/60	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/60	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 60	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/60	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/60	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/60	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/61	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/61	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/61	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/61	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 61	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/61	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/61	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/61	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/62	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/62	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/62	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/62	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 62	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/62	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/62	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/62	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/63	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/63	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/63	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/63	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 63	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/63	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/63	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/63	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P04/64	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P04/64	PASS	cell id intentionally excluded from seed
mask exact count/hash P04/64	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P04/64	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 64	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P04/64	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P04/64	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P04/64	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/1	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/1	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/1	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/1	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 1	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/1	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/1	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/1	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/2	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/2	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/2	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/2	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 2	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/2	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/2	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/2	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/3	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/3	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/3	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/3	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 3	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/3	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/3	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/3	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/4	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/4	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/4	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/4	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 4	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/4	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/4	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/4	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/5	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/5	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/5	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/5	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 5	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/5	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/5	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/5	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/6	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/6	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/6	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/6	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 6	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/6	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/6	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/6	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/7	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/7	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/7	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/7	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 7	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/7	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/7	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/7	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/8	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/8	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/8	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/8	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 8	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/8	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/8	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/8	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/9	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
Mpower seed/CRN P05/9	PASS	cell id intentionally excluded from seed
mask exact count/hash P05/9	PASS	Threefry substream 2 mask
analysis-event hash equals canonical P05/9	PASS	addendum 5.3: analysis event selection invariant to injection mask/kernel
pre kernel declaration 9	PASS	pre RMS/skip checked by wrapper
pair diagnostic schema P05/9	PASS	event-level arrays intentionally absent
Mpower CRN main-stream identity P05/9	PASS	wrapper metadata equals canonical null world
Mpower deterministic event/pair recomputation P05/9	PASS	rebuild wrapper and recompute robustfit diagnostics
Mpower identity P05/10	PASS	atomic checkpoint identity; filename cell/seed cross-checked against stored fields
